funder,label,Top 5_n,Other general-interest_n,JDE_n,Top 5_pct,Other general-interest_pct,JDE_pct
FCDO/IGC/PEDL,FCDO/IGC/PEDL,29,38,15,28.2,24.7,10.5
Abdul Latif Jameel Poverty Action Lab (J-PAL),J-PAL,24,22,10,23.3,14.3,7.0
World Bank Group,World Bank Group,7,18,29,6.8,11.7,20.3
United States Agency for International Development (USAID),USAID,4,14,18,3.9,9.1,12.6
Bill & Melinda Gates Foundation,Gates Foundation,6,10,13,5.8,6.5,9.1
National Science Foundation,NSF,9,6,2,8.7,3.9,1.4
International Initiative for Impact Evaluation (3ie),3ie,3,11,1,2.9,7.1,0.7
Weiss Family Fund,Weiss Family Fund,6,9,0,5.8,5.8,0.0
Inter-American Development Bank,IDB,0,1,10,0.0,0.6,7.0
CGIAR,CGIAR,0,2,8,0.0,1.3,5.6
Economic and Social Research Council,ESRC,2,4,4,1.9,2.6,2.8
European Research Council,ERC,4,4,2,3.9,2.6,1.4
Deutsche Forschungsgemeinschaft (DFG),DFG,0,1,6,0.0,0.6,4.2
Agricultural Technology Adoption Initiative,ATAI,0,1,5,0.0,0.6,3.5
National Institutes of Health,NIH,2,2,2,1.9,1.3,1.4
Social Sciences and Humanities Research Council of Canada,SSHRC,1,1,4,1.0,0.6,2.8
University of Michigan,Univ. of Michigan,2,1,3,1.9,0.6,2.1
Fundação para a Ciência e a Tecnologia,FCT (Portugal),0,1,4,0.0,0.6,2.8
National Natural Science Foundation of China,NSFC (China),1,2,2,1.0,1.3,1.4
Spanish Ministry of Economy and Competitiveness,Spanish Min. of Economy,1,2,2,1.0,1.3,1.4
William and Flora Hewlett Foundation,William and Flora Hewlett Foundation,1,2,2,1.0,1.3,1.4
American Economic Association,American Economic Association,1,2,1,1.0,1.3,0.7
TOTAL,Total (denominator),103,154,143,100.0,100.0,100.0
